Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
킹험,4.59,25,25,0,0,0,0,10,8,0,0,144,51,58,57.5,591,117,22,0,11,41,5,1,131,10,2,4,3.19,3.63,3.59,3.62,3.39,1.1
김민우,4.4,29,28,1,0,0,0,14,10,0,0,155.1,69,71,66.2,662,131,23,1,15,76,7,1,125,5,1,5,4,4.11,3.84,3.93,4.56,1.33
카펜터,3.25,31,30,1,0,0,0,5,12,0,0,170,75,90,87.75,746,150,21,3,16,72,19,0,179,16,1,7,3.97,4.76,4.65,4.78,3.91,1.31
강재민,2.22,58,0,58,18,0,0,2,1,5,13,63.1,15,16,22.6,269,51,13,0,2,26,5,3,55,4,1,1,2.13,2.27,3.21,3.37,3.39,1.22
윤대경,1.71,43,9,34,2,0,0,2,5,0,7,77.2,34,35,36.2,337,73,13,0,8,34,6,2,54,5,0,3,3.94,4.06,4.19,4.27,4.81,1.38
주현상,0.97,43,0,43,6,0,0,2,2,0,4,50.1,20,21,24.6,218,46,6,3,6,21,1,2,33,3,0,6,3.58,3.75,4.4,4.39,4.78,1.33
김범수,0.88,56,2,54,3,0,0,4,9,1,9,70.2,41,44,38.8,319,68,11,2,2,42,2,1,70,3,1,8,5.22,5.6,4.94,5.02,3.56,1.56
김기중,0.59,15,12,3,0,0,0,2,4,0,0,53.2,28,32,32,260,63,10,1,4,36,4,2,36,3,2,0,4.7,5.37,5.37,5.54,5.29,1.84
장민재,0.47,12,6,6,3,0,0,0,2,0,0,29.1,9,17,17.05,128,34,7,0,4,8,0,1,13,3,0,1,2.76,5.22,5.23,5.5,5.13,1.43
배동현,0.46,20,4,16,2,0,0,1,3,0,0,38,19,21,21,177,34,9,1,3,25,4,0,26,1,2,1,4.5,4.97,4.97,5.15,5.36,1.55
송윤준,0.35,17,0,17,3,0,0,0,0,0,2,12.2,5,5,4.1,55,12,2,0,1,6,2,1,8,0,0,0,3.55,3.55,2.91,3.02,4.84,1.42
김진영,0.15,20,0,20,3,0,0,0,1,0,1,18.1,8,8,10.9,81,16,3,0,2,14,0,2,8,1,0,1,3.93,3.93,5.35,5.43,6.34,1.64
정진호,0.07,3,0,3,3,0,0,0,0,0,0,1.2,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.63,1.2
문동욱,0.06,1,0,1,0,0,0,0,0,0,0,1.1,0,0,0,6,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2.34,1.5
윤호솔,0.05,55,0,55,13,0,0,3,0,0,8,48.2,25,29,32.9,214,41,13,2,7,30,3,1,42,5,0,3,4.62,5.36,6.08,6.27,5.36,1.46
김종수,0.03,49,0,49,11,0,0,1,1,0,6,46.2,25,29,32.3,208,34,10,0,7,32,3,0,38,4,0,2,4.82,5.59,6.23,6.21,5.84,1.41
남지민,0.02,3,3,0,0,0,0,0,1,0,0,7.1,6,6,5.15,41,9,2,0,1,7,3,0,3,0,0,0,7.36,7.36,6.32,6.52,8.59,2.18
황영국,0,18,0,18,4,0,0,0,2,0,2,14.2,9,10,9.45,71,16,1,0,0,10,1,0,15,1,0,2,5.52,6.14,5.8,6.09,3.54,1.77
정인욱,-0.01,8,1,7,2,0,0,0,0,0,0,9.1,5,6,6.7,44,6,1,0,2,10,0,0,6,2,0,0,4.82,5.79,6.46,6.56,8.03,1.71
박주홍,-0.02,2,1,1,0,0,0,1,1,0,0,3,4,4,3.65,18,2,0,0,0,9,0,0,3,0,0,1,12,12,10.95,10.03,10.57,3.67
신지후,-0.02,2,0,2,0,0,0,0,0,0,0,0.1,0,2,0.5,3,0,0,0,0,1,0,0,0,1,0,0,0,54,13.5,15.48,13.07,3
윤산흠,-0.03,5,0,5,1,0,0,0,0,0,0,3,2,2,2.85,19,7,0,0,0,2,2,0,2,0,0,0,6,6,8.55,8.42,6.23,3
김이환,-0.05,14,5,9,2,0,0,0,1,0,0,26,22,22,19.3,132,32,5,0,2,22,4,0,13,1,0,1,7.62,7.62,6.68,6.78,6.53,2.08
오동욱,-0.06,34,0,34,13,0,0,0,1,0,2,25,15,17,18.2,117,21,9,0,3,16,5,0,13,4,0,0,5.4,6.12,6.55,6.84,6.5,1.48
장웅정,-0.17,4,0,4,2,0,0,0,0,0,0,7.1,8,8,8,38,15,4,0,4,2,0,0,4,0,0,1,9.82,9.82,9.82,10.54,9.74,2.32
강경학,-0.18,1,0,1,0,0,0,0,0,0,0,0.2,4,4,4,8,3,1,0,0,2,1,0,0,0,0,0,54,54,54,56.68,17.72,7.5
서균,-0.22,3,0,3,0,0,0,0,0,0,0,1.2,2,2,3.55,10,2,0,0,0,0,2,0,0,1,0,0,10.8,10.8,19.17,19.82,7.49,1.2
김기탁,-0.22,19,0,19,4,0,0,0,0,0,4,12.1,8,10,10.5,58,14,4,1,0,7,1,0,12,1,0,0,5.84,7.3,7.66,7.78,3.35,1.7
이충호,-0.24,17,0,17,3,0,0,1,0,0,0,16.1,14,17,15.1,85,20,2,2,1,13,3,0,11,2,0,0,7.71,9.37,8.32,8.19,5.85,2.02
정우람,-0.24,50,0,50,37,0,0,1,4,15,1,44.2,28,29,29.85,199,47,5,0,5,20,5,2,32,2,0,0,5.64,5.84,6.01,6.26,4.9,1.5
장시환,-0.36,19,16,3,2,1,0,0,11,0,1,69,54,62,57,342,87,12,1,4,48,6,2,47,6,0,7,7.04,8.09,7.43,7.67,5.18,1.96
이승관,-0.82,8,2,6,1,0,0,0,2,0,0,5.2,17,20,17.05,44,11,3,1,1,16,0,0,5,0,0,1,27,31.76,27.08,28.38,12.41,4.76
임준섭,-0.86,13,0,13,2,0,0,0,0,0,0,10.2,13,18,17.8,64,19,5,0,1,8,4,0,11,3,1,1,10.97,15.19,15.02,16.6,5.79,2.53
신정락,-1.24,20,0,20,4,0,0,0,2,0,2,20,19,24,26.45,102,25,6,1,3,15,3,2,14,2,0,0,8.55,10.8,11.9,12.12,6.28,2
