"Name	FIP	G	K/9	BB/9	K/BB	HR/9	K%	BB%	K-BB%	BABIP	LOB	ERA	RA9	rRA9	rRA9pf	FIP	xFIP	kwERA	ERA-FIP	ERA-	rRA9-	FIP-	AVG	OBP	SLG	OPS	NP	P/G	P/IP	P/PA"
"박상원	3.47	65	8.78	2.97	2.95	0.27	23.4	7.9	15.5	0.304	57.8	4.59	5.13	5.16	5.12	3.47	3.19	3.54	1.12	92.86	93.93	71.28	0.232	0.31	0.329	0.639	1115	17.2	16.7	4.01"
"김승일	3.57	3	6	0		0	15.4	0	15.4	0.4	80	3	3	0.9	0.9	3.57	3.76	3.55	-0.57	60.69	16.48	73.31	0.333	0.385	0.417	0.802	54	18	18	4.15"
"와이스	3.65	16	9.62	2.85	3.38	0.79	25.5	7.6	18	0.284	67.3	3.73	4.22	4.12	4.06	3.65	2.7	3.24	0.08	75.48	74.5	74.98	0.223	0.286	0.358	0.644	1463	91.4	16	3.81"
"류현진	3.67	28	7.67	1.88	4.09	0.68	19.9	4.9	15	0.346	69.7	3.87	4.43	4.37	4.41	3.67	2.87	3.6	0.19	78.2	80.84	75.54	0.287	0.323	0.381	0.704	2599	92.8	16.4	3.83"
"산체스	3.82	11	9.45	3.54	2.67	0.34	22.9	8.6	14.3	0.374	71.6	4.22	4.73	4.35	4.43	3.82	3.47	3.69	0.4	85.35	81.35	78.58	0.283	0.373	0.363	0.736	960	87.3	18	3.92"
"바리아	3.85	20	8.06	1.75	4.61	0.97	20.5	4.4	16	0.357	62.7	5.15	5.63	5.5	5.39	3.85	2.67	3.47	1.3	104.14	98.92	79.08	0.299	0.328	0.436	0.764	1602	80.1	17.3	3.96"
"주현상	3.85	65	8.08	1.01	8	1.14	24	3	21	0.238	81.3	2.65	2.78	3.12	3.09	3.85	2.46	2.88	-1.2	53.6	56.66	79.13	0.206	0.232	0.36	0.592	1074	16.5	15.1	4.02"
"정우람	4.2	1					0	0	0	1	100	0				4.2	4.2	5.4	-4.2	0	0	86.33	1	1	1	2	4	4		4"
"한승혁	4.2	70	9.19	5.46	1.68	0.29	22.1	13.1	9	0.347	65.4	5.03	5.6	5.33	5.27	4.2	3.91	4.32	0.82	101.69	96.76	86.4	0.264	0.374	0.326	0.7	1210	17.3	19.3	4.19"
"김서현	4.31	37	10.1	7.51	1.34	0	24.2	18	6.2	0.316	70.1	3.76	4.7	4.73	4.93	4.31	4.39	4.66	-0.55	76	90.35	88.53	0.22	0.379	0.291	0.67	699	18.9	18.2	3.93"
"이민우	4.41	64	8.02	3.76	2.13	0.82	20.9	9.8	11.1	0.333	75.3	3.76	4.09	5.13	4.97	4.41	3.42	4.07	-0.64	76.14	91.21	90.59	0.277	0.346	0.421	0.767	989	15.5	18	4.21"
"장민재	4.41	26	5.28	2.17	2.43	0.62	12.3	5.1	7.2	0.404	86.3	3.1	3.1	3.96	3.88	4.41	3.73	4.53	-1.31	62.78	71.21	90.66	0.362	0.397	0.465	0.862	509	19.6	17.6	3.69"
"장지수	4.45	13	7.07	6.43	1.1	0	14.7	13.3	1.3	0.442	48.6	10.93	11.57	9.48	9.15	4.45	4.59	5.24	6.48	221.09	167.82	91.47	0.365	0.467	0.508	0.975	284	21.8	20.3	3.79"
"남지민	4.65	2	6.75	4.5	1.5	0	17.6	11.8	5.9	0.182	100	0	0	2.7	2.7	4.65	4.78	4.69	-4.65	0	49.44	95.58	0.143	0.294	0.214	0.508	70	35	17.5	4.12"
"문동주	4.71	21	7.76	3.07	2.53	1.13	19.1	7.6	11.6	0.388	70	5.17	5.74	5.63	5.61	4.71	3.32	4.01	0.46	104.67	102.99	96.82	0.327	0.382	0.488	0.87	1899	90.4	17.1	3.78"
"이충호	4.97	3	11.57	11.57	1	0	23.1	23.1	0	0.571	85.7	3.86	3.86	11.76	11.02	4.97	5.06	5.4	-1.11	78.03	202.14	102.19	0.4	0.538	0.5	1.038	45	15	19.3	3.46"
"김민우	5	3	9.49	4.38	2.17	1.46	26.5	12.2	14.3	0.179	100	2.19	2.19	2.19	2.44	5	3.17	3.69	-2.81	44.29	44.71	102.84	0.163	0.265	0.302	0.567	186	62	15.1	3.8"
"조동욱	5.21	21	7.02	3.07	2.29	1.1	16.2	7.1	9.1	0.374	61.4	6.37	7.46	7.88	7.68	5.21	3.89	4.31	1.15	128.78	140.8	107.14	0.331	0.393	0.477	0.87	754	35.9	18.4	3.81"
"장시환	5.31	30	7.56	5.94	1.27	0.81	17.9	14.1	3.8	0.313	56.6	5.13	7.29	5.95	5.96	5.31	4.33	4.94	-0.18	103.78	109.39	109.15	0.266	0.373	0.398	0.771	640	21.3	19.2	4.1"
"김규연	5.4	58	6.1	4.27	1.43	0.92	14.8	10.4	4.4	0.321	53.3	7.02	7.63	7.16	7.05	5.4	4.29	4.87	1.62	141.96	129.32	110.93	0.287	0.37	0.417	0.787	1029	17.7	17.4	3.81"
"이상규	5.4	21	7.59	4.22	1.8	1.41	18.1	10.1	8.1	0.343	72.9	5.63	5.63	5.33	5.29	5.4	3.66	4.43	0.22	113.8	97.08	111.07	0.298	0.374	0.481	0.855	614	29.2	19.2	4.12"
"한승주	5.52	18	5.73	4.09	1.4	0.82	11.7	8.3	3.3	0.483	49.1	11.45	12.68	12.33	12.5	5.52	4.57	5	5.93	231.73	229.2	113.53	0.433	0.492	0.567	1.059	457	25.4	20.8	3.81"
"황준서	5.67	36	8.75	6.38	1.37	1.13	20.5	15	5.6	0.348	74.8	5.38	5.5	5.51	5.42	5.67	4.29	4.73	-0.29	108.74	99.51	116.51	0.287	0.401	0.441	0.842	1412	39.2	19.6	4.14"
"페냐	5.83	9	6.99	4.82	1.45	1.45	17	11.7	5.3	0.302	62.3	6.27	6.75	6.58	6.62	5.83	4.04	4.77	0.44	126.8	121.49	119.87	0.275	0.357	0.436	0.793	702	78	18.8	4.11"
"김기중	5.89	27	5.95	4.12	1.44	1.22	13.6	9.4	4.2	0.366	68.6	6.56	6.71	6.5	6.56	5.89	4.4	4.9	0.67	132.7	120.28	121.18	0.333	0.407	0.486	0.893	1090	40.4	18.5	3.81"
"윤대경	6.3	7	8.22	7.04	1.17	1.17	17.5	15	2.5	0.36	50	10.57	10.57	11.97	11.77	6.3	4.93	5.1	4.27	213.74	215.91	129.51	0.345	0.425	0.552	0.977	149	21.3	19.4	3.73"
"김범수	7.44	39	10.06	5.29	1.9	2.91	24.2	12.7	11.5	0.268	88.4	5.29	5.29	6.64	6.53	7.44	3.68	4.02	-2.15	107.1	119.73	153.03	0.254	0.372	0.523	0.895	669	17.2	19.7	4.26"
"배민서	8.28	1	5.4	16.2	0.33	0	9.1	27.3	-18.2	0.571	57.1	16.2	16.2	16.2	16.17	8.28	8.36	7.58	7.92	327.73	296.64	170.21	0.5	0.636	0.625	1.261	41	41	24.6	3.73"
"이태양	9.43	10	1.93	1.93	1	3.86	4.2	4.2	0	0.325	46.2	11.57	12.54	13.69	13.89	9.43	4.49	5.4	2.14	234.09	254.86	193.83	0.37	0.396	0.696	1.092	180	18	19.3	3.75"
"김도빈	24.6	1	27	81	0.33	0	20	60	-40	1	50	54	54	54	54	24.6	24.8	10.2	29.4	1092.44	990.53	505.74	0.5	0.8	0.5	1.3	20	20	60	4"
