Team,HW,HL,HD,Home win,Home windraw,VW,VL,VD,Visit win,Visit windraw,Home run,Home lose,HG,Visit run,Visit lose,VG,LS,LG,BBF,PPF,score pf,hr pf,BBFdraw,PPFdraw,espn pf,diff,diff2,e
hanwha24,87,121,3,0.418269231,0.412322275,80,129,7,0.38277512,0.37037037,966,1067,211,925,1152,216,20885,2160,1.0054,0.9859,1.004,1.002,1.0048,0.9853,1.002010282,0.016710282,-0.001989718,
hanwha23,85,124,8,0.406698565,0.391705069,68,135,12,0.334975369,0.31627907,913,1063,217,854,1143,215,20041,2160,1.008,0.9809,1.002,1.033,0.9951,0.9682,0.980364556,0.012164556,-0.021635444,
hanwha22,78,129,9,0.376811594,0.361111111,63,145,8,0.302884615,0.291666667,867,1116,216,847,1202,216,20855,2160,0.995,0.9594,0.995,1.05,0.9942,0.9586,0.967789165,0.009189165,-0.027210835,
kia24,111,102,3,0.521126761,0.513888889,119,95,2,0.556074766,0.550925926,1094,1074,216,1210,1014,216,20885,2160,0.9759,0.9885,0.993,0.976,0.9755,0.9881,0.974820144,-0.013279856,-0.018179856,
kia23,100,109,6,0.4784689,0.465116279,101,109,7,0.480952381,0.465437788,952,1032,215,1062,1049,217,20041,2160,0.9702,0.9659,0.979,0.971,0.9693,0.965,0.948581627,-0.016418373,-0.030418373,
kia22,99,113,4,0.466981132,0.458333333,102,107,7,0.488038278,0.472222222,981,1155,216,1031,1071,216,20855,2160,1.0118,0.9992,0.989,1.013,1.011,0.9985,1.016175071,0.017675071,0.027175071,
samsung24,103,101,1,0.504901961,0.502439024,99,114,3,0.464788732,0.458333333,1044,1066,205,973,1008,216,20885,2160,1.0677,1.0642,1.043,1.229,1.0674,1.0639,1.122271334,0.058371334,0.079271334,
samsung23,105,96,5,0.52238806,0.509708738,96,115,6,0.454976303,0.442396313,998,1001,206,966,1017,217,20041,2160,1.0332,1.0298,1.027,1.195,1.0324,1.029,1.061897488,0.032897488,0.034897488,
samsung22,107,99,7,0.519417476,0.502347418,98,110,8,0.471153846,0.453703704,1069,1086,213,989,995,216,20855,2160,1.0566,1.0552,1.033,1.208,1.0554,1.0541,1.10148796,0.04738796,0.06848796,
lg24,122,91,3,0.572769953,0.564814815,127,86,3,0.596244131,0.587962963,1067,920,216,1223,939,216,20885,2160,0.9488,0.974,0.968,0.872,0.9484,0.9735,0.919056429,-0.054443571,-0.048943571,
lg23,123,87,5,0.585714286,0.572093023,122,82,13,0.598039216,0.562211982,957,826,215,1179,866,217,20041,2160,0.9319,0.9585,0.966,0.889,0.9306,0.9572,0.879993177,-0.077206823,-0.086006823,
lg22,117,92,7,0.559808612,0.541666667,121,82,13,0.596059113,0.560185185,959,867,216,1212,909,216,20855,2160,0.9239,0.9464,0.953,0.867,0.9225,0.945,0.860914663,-0.084085337,-0.092085337,
kt24,115,97,4,0.54245283,0.532407407,116,97,3,0.544600939,0.537037037,1037,1043,216,1033,939,216,20885,2160,1.034,1.0395,1.02,1.018,1.0334,1.0389,1.054766734,0.015866734,0.034766734,
kt23,122,85,10,0.589371981,0.562211982,113,98,4,0.535545024,0.525581395,1059,933,217,963,829,215,20041,2160,1.0592,1.0754,1.042,0.996,1.058,1.0741,1.101361916,0.027261916,0.059361916,
kt22,125,83,8,0.600961538,0.578703704,112,100,4,0.528301887,0.518518519,1125,959,216,1038,902,216,20855,2160,1.0407,1.0586,1.039,1.028,1.04,1.058,1.074226804,0.016226804,0.035226804,
doosan24,105,108,3,0.492957746,0.486111111,103,110,3,0.483568075,0.476851852,964,1018,216,1083,1076,216,20885,2160,0.9572,0.9542,0.969,0.897,0.9568,0.9538,0.918017601,-0.035782399,-0.050982399,0.918537376
doosan23,101,108,8,0.483253589,0.465437788,104,107,4,0.492890995,0.48372093,934,980,217,1062,1022,215,20041,2160,0.9508,0.9502,0.959,0.857,0.9501,0.9494,0.909961347,-0.039438653,-0.049038653,0.895374183
doosan22,105,102,9,0.507246377,0.486111111,105,106,5,0.497630332,0.486111111,975,961,216,1217,1111,216,20855,2160,0.9028,0.9094,0.953,0.867,0.902,0.9085,0.83161512,-0.07688488,-0.12138488,0.845583277
ssg24,123,90,3,0.577464789,0.569444444,113,97,6,0.538095238,0.523148148,1114,1115,216,1020,1019,216,20885,2160,1.0528,1.0528,1.037,1.221,1.052,1.052,1.093182933,0.041182933,0.056182933,
ssg23,125,82,10,0.603864734,0.576036866,105,99,11,0.514705882,0.488372093,1102,1046,217,1031,1015,215,20041,2160,1.018,1.0224,1.025,1.19,1.0163,1.0207,1.040177304,0.019477304,0.015177304,
ssg22,114,94,8,0.548076923,0.527777778,91,114,11,0.443902439,0.421296296,1100,1130,216,1009,1079,216,20855,2160,1.0359,1.0299,1.034,1.175,1.0345,1.0285,1.068007663,0.039507663,0.034007663,
lotte24,95,103,6,0.47979798,0.465686275,96,118,2,0.448598131,0.444444444,1029,1093,204,981,1030,216,20885,2160,1.0636,1.0567,1.049,0.9,1.063,1.0561,1.117266797,0.061166797,0.068266797,
lotte23,92,109,8,0.457711443,0.440191388,101,110,4,0.478672986,0.469767442,986,1142,209,969,1006,215,20041,2160,1.0583,1.0466,1.032,0.909,1.0575,1.0457,1.10840046,0.06270046,0.07640046,
lotte22,98,107,8,0.47804878,0.460093897,101,110,5,0.478672986,0.467592593,1062,1201,213,1008,1024,216,20855,2160,1.07,1.0612,1.034,0.906,1.069,1.06,1.129366752,0.069366752,0.095366752,
nc24,110,102,4,0.518867925,0.509259259,93,120,3,0.436619718,0.430555556,1059,969,216,1039,1091,216,20885,2160,0.9718,0.9743,0.974,1.032,0.9714,0.9739,0.952112676,-0.021787324,-0.021887324,
nc23,112,97,6,0.535885167,0.520930233,97,112,8,0.464114833,0.447004608,1069,957,215,984,999,217,20041,2160,1.0142,1.02,1.005,1.094,1.0132,1.0191,1.031188357,0.012088357,0.026188357,
nc22,116,92,8,0.557692308,0.537037037,101,105,10,0.490291262,0.467592593,1159,1056,216,1077,997,216,20855,2160,1.0302,1.041,1.013,1.095,1.0288,1.0396,1.067984571,0.028384571,0.054984571,
kiwom24,104,109,3,0.488262911,0.481481481,92,122,2,0.429906542,0.425925926,890,996,216,1010,1120,216,20885,2160,0.9466,0.9338,0.951,0.914,0.9463,0.9335,0.885446009,-0.048053991,-0.065553991,
kiwom23,122,87,6,0.583732057,0.56744186,103,109,5,0.485849057,0.474654378,988,957,215,962,1063,217,20041,2160,0.9889,0.9844,0.983,0.916,0.9877,0.9836,0.969428653,-0.014171347,-0.013571347,
kiwom22,122,88,6,0.580952381,0.564814815,108,104,4,0.509433962,0.5,1019,948,216,1083,1054,216,20855,2160,0.9581,0.9641,0.976,0.901,0.9573,0.9634,0.920449228,-0.042950772,-0.055550772,
kia21,107,105,4,0.504716981,0.49537037,86,122,8,0.413461538,0.398148148,1003,1134,216,894,1136,216,20880,2160,1.038,1.016,0.999,0.98,1.037,1.015,1.05270936,0.03770936,0.05370936,
kia20,119,97,0,0.550925926,0.550925926,86,128,2,0.401869159,0.398148148,1151,1127,216,1043,1217,216,21978,2160,1.0032,0.9947,1.008,0.997,1.003,0.9946,1.007964602,0.013364602,-3.54E-05,
samsung21,109,95,6,0.534313725,0.519047619,89,118,9,0.429951691,0.412037037,1067,1110,210,943,996,216,20880,2160,1.0876,1.0818,1.042,1.18,1.0874,1.0815,1.154822073,0.073322073,0.112822073,
samsung20,96,103,5,0.48241206,0.470588235,90,121,5,0.426540284,0.416666667,1076,1184,204,964,1039,216,21978,2160,1.1104,1.0999,1.058,1.189,1.1105,1.0999,1.19467857,0.09477857,0.13667857,
lg21,120,89,7,0.574162679,0.555555556,110,94,12,0.539215686,0.509259259,969,904,216,1128,984,216,20880,2160,0.941,0.9531,0.944,0.84,0.9397,0.9518,0.886837121,-0.064962879,-0.057162879,
lg20,119,92,5,0.563981043,0.550925926,107,108,1,0.497674419,0.49537037,1039,1001,216,1192,1142,216,21978,2160,0.9313,0.9362,0.939,0.847,0.9309,0.9358,0.87403599,-0.06176401,-0.06496401,
kt21,126,82,8,0.605769231,0.583333333,102,110,4,0.481132075,0.472222222,1106,950,216,1076,1010,216,20880,2160,0.9892,1.0023,1.024,0.987,0.9882,1.0014,0.985618408,-0.015781592,-0.038381592,
kt20,116,97,3,0.544600939,0.537037037,95,118,3,0.44600939,0.439814815,1127,1092,216,1093,1118,216,21978,2160,1.0005,1.001,1.012,0.978,1,1.0005,1.003618272,0.003118272,-0.008381728,
doosan21,123,85,8,0.591346154,0.569444444,115,96,5,0.545023697,0.532407407,1042,860,216,1248,1041,216,20880,2160,0.8999,0.9229,0.944,0.84,0.899,0.922,0.830930537,-0.091069463,-0.113069463,0.8577596
doosan20,139,75,2,0.64953271,0.643518519,121,92,3,0.568075117,0.560185185,1160,898,216,1336,1103,216,21978,2160,0.904,0.9321,0.939,0.847,0.9036,0.9317,0.843788438,-0.087911562,-0.095211562,0.85857951
ssg21,109,98,9,0.526570048,0.50462963,96,113,7,0.459330144,0.444444444,1055,1086,216,989,1047,216,20880,2160,1.0306,1.0253,1.027,1.139,1.0294,1.0241,1.051571709,0.027471709,0.024571709,
ssg20,114,101,1,0.530232558,0.527777778,103,111,2,0.481308411,0.476851852,1105,1097,216,1013,1024,216,21978,2160,1.0497,1.0495,1.029,1.15,1.0494,1.0492,1.081001473,0.031801473,0.052001473,
lotte21,99,105,6,0.485294118,0.471428571,83,127,6,0.395238095,0.384259259,1062,1155,216,975,1104,216,20880,2160,1.0509,1.0374,1.05,1.025,1.05,1.0366,1.066378066,0.029778066,0.016378066,
lotte20,97,105,1,0.48019802,0.477832512,83,128,5,0.393364929,0.384259259,1050,1149,216,1046,1133,216,21978,2160,1.0385,1.0278,1.043,1.047,1.0382,1.0274,1.009178522,-0.018221478,-0.033821478,
hanwha21,79,121,9,0.395,0.377990431,72,138,6,0.342857143,0.333333333,812,1063,216,925,1183,216,20880,2160,0.9679,0.9372,0.98,1.019,0.9672,0.9365,0.889468691,-0.047031309,-0.090531309,
hanwha20,95,105,2,0.475,0.47029703,82,133,1,0.381395349,0.37962963,887,1067,216,945,1150,216,21978,2160,1.0113,0.989,0.978,1.035,1.0114,0.989,0.932696897,-0.056303103,-0.045303103,
nc21,121,88,7,0.578947368,0.560185185,102,104,10,0.495145631,0.472222222,1206,1068,216,1058,974,216,20880,2160,1.0582,1.0712,1.026,1.078,1.0568,1.0698,1.119094488,0.049294488,0.093094488,
nc20,118,93,5,0.559241706,0.546296296,96,116,4,0.452830189,0.444444444,1188,1117,216,1034,1075,216,21978,2160,1.0515,1.053,1.037,1.091,1.0507,1.0523,1.09293504,0.04063504,0.05593504,
kiwom21,128,82,6,0.60952381,0.592592593,108,105,3,0.507042254,0.5,1114,942,216,1147,1022,216,20880,2160,0.9646,0.9823,0.976,0.874,0.9639,0.9816,0.947902259,-0.033697741,-0.028097741,
kiwom20,123,91,2,0.574766355,0.569444444,118,98,0,0.546296296,0.546296296,1110,984,216,1254,1060,216,21978,2160,0.9423,0.9601,0.96,0.888,0.9421,0.96,0.904926534,-0.055073466,-0.055073466,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,836,708,144,726,637,144,,,,,,,,,,,,1.132795304
