Name,Team,Season,WAR,merce,upgrade,income,next_crese_not,fa_season,retire,ERA,ERA-,FIP-,A_PPF,PPF,Season_Adjusted_ERA,WHIP,IP,G,GS,1ERA,1IP,1R,1ER,1TBF,1AB,H1,2B1,3B1,HR1,BB1,IB1,HP1,SO1,NP1,WHIP1,AVG1,OBP1,OPS1,2ERA,2IP,2R,2ER,2TBF,2AB,H2,2B2,3B2,HR2,BB2,IB2,HP2,SO2,NP2,WHIP2,AVG2,OBP2,OPS2,3ERA,3IP,3R,3ER,3TBF,3AB,H3,2B3,3B3,HR3,BB3,IB3,HP3,SO3,NP3,WHIP3,AVG3,OBP3,OPS3,4ERA,4IP,4R,4ER,4TBF,4AB,H4,2B4,3B4,HR4,BB4,IB4,HP4,SO4,NP4,WHIP4,AVG4,OBP4,OPS4,5ERA,5IP,5R,5ER,5TBF,5AB,H5,2B5,3B5,HR5,BB5,IB5,HP5,SO5,NP5,WHIP5,AVG5,OBP5,OPS5,6ERA,6IP,6R,6ER,6TBF,6AB,H6,2B6,3B6,HR6,BB6,IB6,HP6,SO6,NP6,WHIP6,AVG6,OBP6,OPS6,7ERA,7IP,7R,7ER,7TBF,7AB,H7,2B7,3B7,HR7,BB7,IB7,HP7,SO7,NP7,WHIP7,AVG7,OBP7,OPS7,8ERA,8IP,8R,8ER,8TBF,8AB,H8,2B8,3B8,HR8,BB8,IB8,HP8,SO8,NP8,WHIP8,AVG8,OBP8,OPS8,9ERA,9IP,9R,9ER,9TBF,9AB,H9,2B9,3B9,HR9,BB9,IB9,HP9,SO9,NP9,WHIP9,AVG9,OBP9,OPS9
놀린,KIA,22,4.61,1,0,35000,0,0,0,2.47,61.29,75.84,1.00503629,1.024,3.694222,1.12,124,21,21,3.86,21,9,9,90,84,23,6,0,0,3,0,1,23,349,1.24,0.274,0.307,0.652,1.71,21,4,4,82,77,20,2,0,2,4,0,1,18,322,1.14,0.26,0.305,0.669,1.33,20.33,4,3,82,76,16,2,1,1,4,0,1,14,321,0.98,0.211,0.256,0.559,2.7,20,6,6,83,76,20,4,0,1,2,0,3,21,342,1.1,0.263,0.301,0.656,2.37,19,8,5,78,71,13,4,0,1,6,0,0,16,312,1,0.183,0.244,0.526,3.68,14.67,8,6,65,58,16,1,1,2,5,1,1,10,241,1.43,0.276,0.344,0.775,0,6,0,0,23,22,5,0,0,0,0,0,1,5,77,0.83,0.227,0.261,0.488,4.5,2,2,1,9,7,2,0,0,0,0,0,0,1,23,1,0.286,0.286,0.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양현종,KIA,22,3.46,0,1,100000,-50000,1,0,3.85,95.62,90.92,1.006260024,1.024,3.694222,1.25,175.33,30,30,5.1,30,20,17,128,117,31,2,0,6,9,0,0,25,554,1.33,0.265,0.315,0.751,1.8,30,9,6,123,114,24,3,0,1,7,0,0,19,450,1.03,0.211,0.254,0.517,5.16,29.67,17,17,134,114,33,7,1,3,15,0,1,22,513,1.62,0.289,0.368,0.815,3.72,29,12,12,122,113,31,9,1,1,6,0,1,27,452,1.28,0.274,0.314,0.712,3.54,28,15,11,121,106,28,5,0,1,7,0,1,24,449,1.25,0.264,0.308,0.648,3.8,21.33,11,9,85,82,17,7,1,2,3,1,0,18,303,0.94,0.207,0.235,0.625,4.05,6.67,3,3,28,25,6,0,0,0,2,0,0,7,124,1.2,0.24,0.296,0.536,0,0.67,0,0,3,2,0,0,0,0,1,0,0,0,15,1.5,0,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파노니,KIA,22,2.75,1,0,30000,0,0,0,2.72,67.6,81.25,1.015265997,1.024,3.694222,1.23,82.67,14,14,1.29,14,2,2,55,50,11,1,0,1,4,0,1,11,231,1.07,0.22,0.291,0.591,0,14,0,0,54,51,9,2,0,0,3,0,0,15,220,0.86,0.176,0.222,0.438,4.5,14,11,7,71,58,19,0,1,1,9,0,0,10,304,2,0.328,0.412,0.826,1.29,14,4,2,54,51,10,0,0,1,2,0,0,11,193,0.86,0.196,0.226,0.481,5.68,12.67,8,8,53,46,13,1,0,1,3,0,1,14,217,1.26,0.283,0.34,0.71,1.86,9.67,2,2,39,38,9,1,0,1,1,0,0,8,161,1.03,0.237,0.256,0.598,8.31,4.33,4,4,21,19,6,0,0,0,2,0,0,4,76,1.85,0.316,0.381,0.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양현종,KIA,23,4.15,0,0,50000,0,0,0,3.58,88.56,91.5,0.995943333,0.991,3.862461,1.34,171,29,29,3.1,29,11,10,120,113,32,3,0,1,6,0,0,26,462,1.31,0.283,0.319,0.655,4.34,29,14,14,124,117,31,7,0,4,5,0,1,26,451,1.24,0.265,0.298,0.725,3.54,28,17,11,120,106,29,7,1,0,9,0,0,19,488,1.36,0.274,0.328,0.686,5.14,28,16,16,127,117,36,7,0,4,9,0,0,22,492,1.61,0.308,0.357,0.827,1.65,27.33,6,5,107,99,19,6,0,1,4,0,0,23,384,0.84,0.192,0.221,0.504,3.06,17.67,8,6,77,64,16,0,0,2,11,1,0,11,268,1.53,0.25,0.36,0.704,5.4,10,6,6,46,41,14,3,0,1,4,0,0,8,186,1.8,0.341,0.4,0.888,0,2,0,0,10,10,4,0,0,0,0,0,0,0,30,2,0.4,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이의리,KIA,23,3.29,0,1,15000,2000,0,0,3.96,98.1,89.75,0.996999696,0.991,3.862461,1.49,131.67,28,28,4.18,28,13,13,120,101,19,5,0,1,14,0,4,37,509,1.18,0.188,0.311,0.578,5.47,26.33,19,16,119,97,21,5,0,2,17,0,3,30,502,1.44,0.216,0.347,0.677,3.81,26,11,11,119,94,23,3,0,1,21,0,0,32,509,1.69,0.245,0.373,0.682,3.42,23.67,9,9,105,89,18,1,0,0,14,0,0,24,440,1.35,0.202,0.308,0.521,3.5,18,9,7,90,63,12,1,0,0,23,1,0,22,407,1.94,0.19,0.402,0.608,2.35,7.67,2,2,36,32,9,2,0,0,4,0,0,10,142,1.7,0.281,0.361,0.705,0,2,1,0,9,8,1,1,0,0,0,0,1,1,37,0.5,0.125,0.222,0.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
앤더슨,KIA,23,1.57,1,0,60000,0,0,0,3.76,93.03,94.69,0.993894177,0.991,3.862461,1.29,79,14,14,6.43,14,14,10,69,59,21,1,0,1,6,0,1,11,273,1.93,0.356,0.412,0.836,2.57,14,5,4,52,50,10,1,1,1,2,0,0,9,200,0.86,0.2,0.231,0.551,4.5,14,7,7,61,55,15,3,0,2,6,0,0,13,252,1.5,0.273,0.344,0.78,3.65,12.33,7,5,57,50,13,3,1,0,5,0,1,13,226,1.46,0.26,0.339,0.699,1.59,11.33,3,2,43,39,8,4,0,0,4,0,0,8,164,1.06,0.205,0.279,0.587,2,9,2,2,36,33,5,0,1,1,2,0,0,7,138,0.78,0.152,0.194,0.497,4.5,4,2,2,16,15,2,0,0,0,1,0,0,5,58,0.75,0.133,0.188,0.321,27,0.33,2,1,4,3,2,0,0,1,0,0,0,0,8,6,0.667,0.667,2.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
메디나,KIA,23,0.18,1,0,30000,0,0,0,6.05,149.75,137.58,0.992362586,0.991,3.862461,1.6,58,12,12,3.75,12,8,5,51,43,10,2,0,2,3,0,2,5,188,1.08,0.233,0.3,0.719,7.5,12,10,10,61,54,19,6,0,2,4,0,1,12,214,1.92,0.352,0.407,0.981,8.18,11,10,10,52,41,11,1,0,0,10,0,1,5,201,1.91,0.268,0.423,0.716,4.82,9.33,5,5,43,34,8,3,0,0,5,0,4,4,169,1.39,0.235,0.395,0.719,6.14,7.33,5,5,34,31,11,2,1,2,3,0,0,4,126,1.91,0.355,0.412,1.089,9,4,4,4,19,14,3,2,0,0,4,0,1,2,76,1.75,0.214,0.421,0.778,0,1.33,0,0,5,5,1,0,0,0,0,0,0,2,17,0.75,0.2,0.2,0.4,0,1,0,0,4,4,1,0,0,0,0,0,0,2,12,1,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
양현종,KIA,24,5.01,0,0,50000,0,0,0,4.1,83.1,95.35,1.009876379,1.036,4.581854,1.25,171.33,29,29,2.79,29,11,9,114,107,26,6,0,2,5,0,1,25,402,1.07,0.243,0.281,0.636,2.17,29,8,7,119,114,26,1,2,4,5,0,0,21,419,1.07,0.228,0.261,0.638,5.9,29,19,19,134,125,37,9,3,4,8,0,0,25,468,1.55,0.296,0.338,0.85,2.17,29,8,7,116,105,20,9,0,0,10,0,1,18,451,1.03,0.19,0.267,0.543,8.13,27.67,27,25,133,125,43,8,1,7,7,0,1,19,478,1.81,0.344,0.383,0.975,5.6,17.67,12,11,75,66,15,2,0,4,5,0,3,14,287,1.13,0.227,0.311,0.75,0,6,1,0,21,21,3,2,0,0,0,0,0,4,70,0.5,0.143,0.143,0.381,0,2,0,0,8,8,3,0,0,0,0,0,0,2,26,1.5,0.375,0.375,0.75,0,2,0,0,8,7,1,0,0,0,1,0,0,2,23,1,0.143,0.25,0.393
네일,KIA,24,4.9,1,1,35000,133000,0,0,2.53,51.34,75.83,1.003409161,1.036,4.581854,1.27,149.33,26,26,2.42,26,11,7,110,104,27,5,1,2,6,0,0,26,418,1.27,0.26,0.3,0.685,1.38,26,4,4,104,95,21,5,0,1,7,0,2,29,427,1.08,0.221,0.288,0.593,1.04,26,15,3,113,102,23,2,0,1,6,0,4,21,385,1.12,0.225,0.295,0.57,1.4,25.67,11,4,111,103,27,5,0,2,8,0,0,27,416,1.36,0.262,0.315,0.684,4.32,25,14,12,107,102,27,5,0,1,4,0,1,18,405,1.24,0.265,0.299,0.642,4.32,16.67,9,8,74,68,21,4,0,3,2,0,2,14,270,1.38,0.309,0.342,0.842,9,4,5,4,23,20,8,1,0,1,2,0,0,3,77,2.5,0.4,0.455,1.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
윤영철,KIA,24,2.18,0,1,9000,3000,0,0,4.19,84.94,108.41,1.003861271,1.036,4.581854,1.53,81.67,18,18,3.5,18,9,7,78,71,18,2,0,3,7,0,0,13,302,1.39,0.254,0.321,0.729,2.5,18,5,5,77,62,14,1,0,3,13,0,0,14,314,1.5,0.226,0.36,0.747,5.51,16.33,10,10,75,62,18,5,0,0,10,0,0,8,288,1.71,0.29,0.384,0.755,5.14,14,9,8,64,57,17,4,0,0,6,0,0,10,266,1.64,0.298,0.365,0.733,5.91,10.67,7,7,46,43,12,1,1,2,3,0,0,8,184,1.41,0.279,0.326,0.814,2.25,4,4,1,20,16,3,1,0,0,3,0,1,5,80,1.5,0.188,0.35,0.6,0,0.67,0,0,2,1,0,0,0,0,1,0,0,0,10,1.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
뷰캐넌,Samsung,22,5.47,1,1,110000,0,0,0,3.04,71.65,85.16,1.024731875,1.034,3.694222,1.34,160,26,26,3.12,26,12,9,115,105,31,5,1,1,4,0,3,12,408,1.35,0.295,0.333,0.723,5.19,26,16,15,120,108,39,6,0,4,8,0,0,22,442,1.81,0.361,0.402,0.93,4.85,26,16,14,121,107,32,7,0,1,11,0,1,24,478,1.65,0.299,0.367,0.76,1.8,25,5,5,99,92,20,3,1,1,5,0,1,16,391,1,0.217,0.265,0.569,2.45,22,6,6,98,88,25,2,0,0,5,0,3,16,355,1.36,0.284,0.344,0.651,1.29,21,4,3,85,82,19,5,0,2,3,0,0,18,335,1.05,0.232,0.259,0.625,1.86,9.67,2,2,37,34,7,1,0,1,2,0,0,8,143,0.93,0.206,0.25,0.574,0,2.67,0,0,9,9,2,0,0,0,0,0,0,0,26,0.75,0.222,0.222,0.444,0,1.67,0,0,7,6,1,0,0,0,1,0,0,1,27,1.2,0.167,0.286,0.453
원태인,Samsung,22,4.37,0,1,30000,5000,0,0,3.92,92.45,87.75,1.01227188,1.034,3.694222,1.29,165.33,27,27,5.33,27,18,16,122,113,39,8,0,2,6,0,2,21,491,1.67,0.345,0.385,0.854,3,27,9,9,110,108,30,2,0,4,2,0,0,27,413,1.19,0.278,0.291,0.698,2.33,27,7,7,112,102,24,3,0,0,7,0,0,14,409,1.15,0.235,0.279,0.544,4,27,13,12,114,103,25,3,0,5,8,0,1,24,460,1.22,0.243,0.301,0.718,5.54,26,16,16,118,110,36,8,0,1,5,1,1,13,432,1.58,0.327,0.359,0.786,5.71,17.33,11,11,76,70,19,0,1,4,5,1,0,17,286,1.38,0.271,0.32,0.791,0.82,11,1,1,37,34,2,1,0,0,3,0,0,10,136,0.45,0.059,0.135,0.223,0,3,0,0,11,8,0,0,0,0,2,1,0,4,42,0.67,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
백정현,Samsung,22,1.51,0,0,80000,-40000,0,0,5.27,124.31,132.67,1.006599663,1.034,3.694222,1.53,124.67,24,24,6.38,24,19,17,115,108,39,7,0,5,5,0,1,13,447,1.83,0.361,0.391,0.956,5.25,24,14,14,109,98,30,5,1,4,7,0,4,15,404,1.54,0.306,0.376,0.876,4.13,24,11,11,99,92,23,8,0,5,6,1,0,15,344,1.21,0.25,0.296,0.796,5.57,21,13,13,92,85,27,2,0,3,5,0,1,11,327,1.52,0.318,0.363,0.81,4.91,18.33,11,10,81,71,18,2,1,1,7,0,2,9,321,1.36,0.254,0.333,0.685,2.45,11,3,3,53,46,12,2,0,2,6,0,1,5,193,1.64,0.261,0.358,0.793,19.29,2.33,5,5,13,10,5,1,0,2,1,0,0,2,39,2.57,0.5,0.545,1.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
허윤동,Samsung,22,0.15,0,1,4700,700,0,0,6.55,154.4,144.67,1.006374364,1.034,3.694222,1.78,55,12,12,12.75,12,17,17,64,47,17,2,0,4,9,0,3,6,244,2.17,0.362,0.453,1.113,4.5,12,7,6,55,48,13,3,0,1,7,0,0,8,191,1.67,0.271,0.364,0.76,2.25,12,4,3,55,45,12,2,0,2,9,0,1,11,221,1.75,0.267,0.4,0.844,9.31,9.67,10,10,50,42,16,3,0,1,5,0,1,5,181,2.17,0.381,0.449,0.973,1.29,7,1,1,28,23,2,2,0,0,3,0,1,5,112,0.71,0.087,0.214,0.388,11.57,2.33,3,3,12,10,4,1,0,0,1,0,0,1,36,2.14,0.4,0.455,0.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
뷰캐넌,Samsung,23,6.29,1,0,110000,0,0,0,2.54,59.25,71.12,0.993408085,0.998,3.862461,1.15,188,30,30,2.7,30,11,9,125,112,29,4,1,0,11,0,0,17,476,1.33,0.259,0.32,0.633,1.8,30,7,6,120,113,25,4,0,0,2,0,3,24,440,0.9,0.221,0.252,0.509,4.66,29,17,15,123,117,30,6,0,0,3,0,0,22,495,1.14,0.256,0.273,0.581,2.17,29,7,7,114,108,26,1,0,2,5,0,0,28,449,1.07,0.241,0.274,0.58,2.89,28,12,9,121,105,27,3,1,1,11,1,0,18,447,1.36,0.257,0.325,0.658,2.05,22,5,5,89,80,16,3,0,1,7,0,1,17,332,1.05,0.2,0.27,0.545,0.64,14,11,1,66,61,14,2,0,0,4,0,1,8,246,1.29,0.23,0.288,0.55,0,5,0,0,21,20,5,1,0,0,0,0,1,5,82,1,0.25,0.286,0.586,9,1,1,1,5,5,2,1,0,0,0,0,0,0,17,2,0.4,0.4,1
원태인,Samsung,23,4.43,0,1,35000,8000,0,0,3.24,75.66,97.28,0.997799867,0.998,3.862461,1.27,150,26,26,5.19,26,15,15,115,105,31,7,0,3,6,0,1,21,457,1.42,0.295,0.333,0.781,2.77,26,9,8,101,96,20,5,0,2,3,0,1,14,389,0.88,0.208,0.238,0.561,3.7,24.33,10,10,100,91,20,7,0,1,5,0,2,16,385,1.03,0.22,0.276,0.606,2.25,24,6,6,95,91,24,4,0,3,4,0,0,16,384,1.17,0.264,0.295,0.702,2.28,23.67,11,6,108,101,31,0,0,3,6,0,1,23,435,1.56,0.307,0.352,0.748,3.5,18,8,7,76,66,19,3,0,2,7,2,1,9,304,1.44,0.288,0.36,0.784,2.57,7,2,2,35,31,11,0,1,1,3,0,0,2,152,2,0.355,0.412,0.928,0,1,0,0,4,4,1,0,0,0,0,0,0,1,15,1,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
백정현,Samsung,23,2.92,0,0,40000,0,0,0,3.67,85.59,91.21,1.003702195,0.998,3.862461,1.29,100.67,18,18,5,18,12,10,83,73,22,5,0,2,7,0,0,12,320,1.61,0.301,0.363,0.815,3.5,18,7,7,78,68,19,3,0,1,7,0,0,6,290,1.44,0.279,0.342,0.71,2.65,17,5,5,68,60,14,0,0,0,6,0,0,13,252,1.18,0.233,0.299,0.532,2.25,16,4,4,61,57,12,4,0,2,4,0,0,12,213,1,0.211,0.262,0.648,0,15,0,0,54,52,9,2,0,0,2,0,0,7,234,0.73,0.173,0.204,0.416,6.97,10.33,8,8,45,41,13,2,1,0,2,1,0,7,178,1.45,0.317,0.341,0.756,10.38,4.33,6,5,21,19,7,2,0,1,2,1,0,3,75,2.08,0.368,0.429,1.061,0,2,0,0,7,7,2,0,0,0,0,0,0,1,24,1,0.286,0.286,0.572,99.99,0,2,2,2,2,2,1,1,0,0,0,0,0,3,99.99,1,1,3.5
수아레즈,Samsung,23,2.55,1,0,90000,0,0,0,3.92,91.46,72.83,0.995390278,0.998,3.862461,1.49,108,19,19,5.3,18.67,12,11,90,74,26,2,0,0,11,0,1,8,348,1.98,0.351,0.422,0.8,3.5,18,7,7,80,70,21,2,1,1,5,0,1,20,317,1.44,0.3,0.351,0.751,5.5,18,11,11,82,74,23,5,0,0,8,0,0,15,310,1.72,0.311,0.378,0.756,1.59,17,8,3,70,67,17,3,0,0,2,0,0,11,263,1.12,0.254,0.271,0.57,3.24,16.67,7,6,74,65,18,3,0,1,5,0,0,16,305,1.38,0.277,0.324,0.693,6.39,12.67,9,9,58,57,17,2,0,1,1,0,0,13,241,1.42,0.298,0.31,0.696,0,6,0,0,22,22,6,1,0,0,0,0,0,6,87,1,0.273,0.273,0.591,0,1,0,0,4,4,1,1,0,0,0,0,0,0,15,1,0.25,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
코너,Samsung,24,5.95,1,0,80000,0,0,0,3.43,65.9,86.57,0.988539438,1.01,4.581854,1.09,160,28,28,4.5,28,14,14,109,104,23,1,0,5,2,0,3,28,438,0.89,0.221,0.257,0.632,1.29,28,4,4,104,99,17,2,1,0,4,0,1,33,428,0.75,0.172,0.212,0.424,4.67,27,15,14,125,103,29,4,2,3,14,0,5,22,477,1.59,0.282,0.39,0.837,3.55,25.33,13,10,108,100,26,4,0,8,4,0,3,22,411,1.18,0.26,0.306,0.846,4.74,24.67,13,13,103,91,18,5,0,2,6,0,5,29,402,0.97,0.198,0.282,0.601,3.45,15.67,6,6,69,59,13,0,0,3,9,0,1,17,284,1.4,0.22,0.333,0.706,0,8.33,2,0,35,32,8,0,0,0,1,0,1,5,125,1.08,0.25,0.286,0.536,0,2,0,0,7,7,1,1,0,0,0,0,0,2,25,0.5,0.143,0.143,0.429,0,1,0,0,3,3,0,0,0,0,0,0,0,0,14,0,0,0,0
원태인,Samsung,24,5.87,0,1,43000,20000,0,0,3.66,70.37,88.89,0.997548131,1.01,4.581854,1.2,159.67,28,28,5.53,27.67,17,17,116,108,32,2,0,4,4,0,2,23,431,1.3,0.296,0.33,0.756,2.33,27,7,7,108,97,18,7,0,1,10,0,0,16,453,1.04,0.186,0.262,0.551,3.67,27,11,11,115,103,24,4,1,3,9,0,2,23,518,1.22,0.233,0.307,0.686,4.33,27,14,13,119,109,30,7,0,3,6,0,2,17,452,1.33,0.275,0.322,0.744,4.15,26,13,12,114,105,31,8,1,5,6,0,1,21,447,1.42,0.295,0.339,0.872,2.41,18.67,6,5,75,69,12,1,1,1,6,1,0,13,307,0.96,0.174,0.24,0.501,0,3.67,0,0,13,12,1,0,0,0,1,0,0,3,52,0.55,0.083,0.154,0.237,0,1.67,0,0,5,5,0,0,0,0,0,0,0,1,13,0,0,0,0,0,1,0,0,5,5,2,0,0,0,0,0,0,2,20,2,0.4,0.4,0.8
레예스,Samsung,24,5.06,1,1,50000,48000,0,0,3.81,73.22,83.07,1.002373681,1.01,4.581854,1.31,144,26,26,4.15,26,12,12,107,98,25,4,1,4,2,0,2,26,414,1.04,0.255,0.279,0.718,0.69,26,2,2,93,88,15,4,1,0,4,0,1,19,388,0.73,0.17,0.215,0.454,5.26,25.67,16,15,112,101,26,4,0,2,9,0,1,22,445,1.36,0.257,0.324,0.68,4.88,24,13,13,104,97,31,1,0,4,4,0,2,16,388,1.46,0.32,0.356,0.81,3.97,22.67,13,10,106,100,33,5,1,3,6,0,0,16,409,1.72,0.33,0.368,0.858,3.68,14.67,6,6,68,65,20,3,0,1,2,0,1,11,271,1.5,0.308,0.338,0.738,5.4,5,3,3,27,23,9,0,0,1,3,0,0,4,114,2.4,0.391,0.462,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이승현,Samsung,24,2.7,0,1,7000,5000,0,0,4.23,81.15,97.69,0.989743502,1.01,4.581854,1.43,87.33,17,17,5.82,17,11,11,72,61,16,2,1,2,8,0,0,19,313,1.41,0.262,0.333,0.759,4.24,17,8,8,78,65,17,2,0,2,11,0,1,18,337,1.65,0.262,0.372,0.757,3.71,17,10,7,77,70,20,3,0,1,5,0,1,11,306,1.47,0.286,0.342,0.713,4.6,15.67,8,8,73,62,19,1,0,2,6,0,4,10,278,1.6,0.306,0.403,0.822,2.51,14.33,4,4,58,52,12,2,0,2,4,0,0,7,208,1.12,0.231,0.286,0.671,4.26,6.33,3,3,26,23,4,1,0,0,3,0,0,3,86,1.11,0.174,0.269,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
켈리,LG,22,6.14,1,1,90000,15000,0,0,2.54,65.71,74.66,0.943094992,0.903,3.694222,1.08,166.33,27,27,3.33,27,11,10,110,99,24,1,1,1,9,0,0,24,446,1.22,0.242,0.303,0.606,2.33,27,7,7,101,98,21,2,1,1,3,0,0,26,382,0.89,0.214,0.238,0.524,1.67,27,5,5,105,100,21,2,0,2,4,0,1,17,379,0.93,0.21,0.248,0.538,3.12,26,11,9,107,102,29,2,0,2,3,0,1,22,368,1.23,0.284,0.311,0.674,2.42,26,7,7,102,93,19,1,0,1,7,0,0,29,414,1,0.204,0.255,0.502,2.91,21.67,7,7,87,81,18,1,2,2,5,0,0,24,338,1.06,0.222,0.264,0.622,1.86,9.67,2,2,45,42,12,1,0,1,3,0,0,9,163,1.55,0.286,0.333,0.714,0,2,0,0,7,6,0,0,0,0,1,0,0,2,25,0.5,0,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
플럿코,LG,22,5.94,1,1,50000,30000,0,0,2.39,61.72,82.32,0.970519753,0.903,3.694222,1.01,162,28,28,2,27,8,6,108,102,21,0,0,4,6,1,0,30,416,1,0.206,0.25,0.574,2.67,27,8,8,104,96,19,3,0,3,7,0,0,21,398,0.96,0.198,0.252,0.575,2,27,9,6,106,96,17,6,0,0,8,1,0,26,439,0.93,0.177,0.238,0.478,1.67,27,7,5,107,100,24,4,1,3,4,0,1,21,440,1.04,0.24,0.271,0.661,1.33,27,4,4,105,96,19,0,0,0,6,0,1,22,405,0.93,0.198,0.252,0.45,4.87,20.33,14,11,87,79,18,4,1,1,6,0,0,20,371,1.18,0.228,0.276,0.618,5.06,5.33,3,3,22,21,6,0,0,2,1,0,0,7,87,1.31,0.286,0.318,0.889,0,1,0,0,4,4,1,1,0,0,0,0,0,2,17,1,0.25,0.25,0.75,0,0.33,0,0,2,2,0,0,0,0,0,0,0,1,10,0,0,0,0
김윤식,LG,22,3.23,0,1,7000,8000,0,0,3.31,85.42,85.08,0.948700429,0.903,3.694222,1.33,114.33,23,23,3.63,22.33,10,9,97,89,28,5,0,1,4,0,0,16,377,1.43,0.315,0.337,0.741,3.48,20.67,8,8,90,81,18,1,0,1,7,0,1,24,348,1.21,0.222,0.292,0.564,4.95,20,12,11,96,85,30,6,0,1,9,1,0,10,336,1.95,0.353,0.411,0.87,1.37,19.67,4,3,74,71,14,4,0,0,3,0,0,13,269,0.86,0.197,0.23,0.484,3.06,17.67,6,6,74,68,20,4,1,1,4,1,0,13,291,1.36,0.294,0.333,0.759,3.97,11.33,5,5,42,42,13,1,0,1,0,0,0,5,147,1.15,0.31,0.31,0.715,0,1.33,0,0,6,6,2,1,0,0,0,0,0,0,16,1.5,0.333,0.333,0.833,0,1,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
