Name	FIP	G	K/9	BB/9	K/BB	HR/9	K%	BB%	K-BB%	BABIP	LOB	ERA	RA9	rRA9	rRA9pf	FIP	xFIP	kwERA	ERA-FIP	ERA-	rRA9-	FIP-	AVG	OBP	SLG	OPS	NP	P/G	P/IP	P/PA
정동윤	3.06	3	10.8	5.4	2	0	28.6	14.3	14.3	0.25	100	0	0	1.89	1.76	3.06	3.1	3.69	-3.06	0	31.12	60.63	0.167	0.286	0.167	0.453	32	10.7	19.2	4.57
박성빈	3.38	3	7.71	0		0	22.2	0	22.2	0.167	100	0	0	0	0	3.38	3.53	2.73	-3.38	0	0	67.08	0.125	0.222	0.125	0.347	28	9.3	12	3.11
조병현	3.53	76	11.84	3.82	3.1	0.99	31.8	10.3	21.5	0.27	68.9	3.58	4.19	4.03	3.8	3.53	2.31	2.82	0.04	69.72	67.19	70	0.197	0.283	0.326	0.609	1294	17	17.7	4.28
앤더슨	3.55	24	12.29	4.12	2.98	0.86	31.9	10.7	21.2	0.33	72.2	3.89	4.28	4.19	3.93	3.55	2.5	2.86	0.34	75.87	69.52	70.37	0.227	0.322	0.338	0.66	2029	84.5	17.5	4.09
한두솔	3.61	69	10.32	4.7	2.19	0.46	24.9	11.4	13.6	0.36	60.9	5.01	6.07	5.45	5.24	3.61	3.09	3.77	1.4	97.61	92.73	71.5	0.267	0.357	0.366	0.723	1071	15.5	18.1	3.92
시라카와	4.16	5	10.57	3.52	3	1.17	25.5	8.5	17	0.4	65.7	5.09	6.26	5.6	5.15	4.16	2.7	3.36	0.92	99.2	91.13	82.53	0.305	0.371	0.442	0.813	426	85.2	18.5	4.02
엘리아스	4.25	22	7.57	2.18	3.47	0.95	19.8	5.7	14.1	0.313	71.5	4.08	4.29	4.07	3.92	4.25	3.1	3.71	-0.17	79.48	69.37	84.23	0.265	0.315	0.376	0.691	1947	88.5	15.7	3.71
노경은	4.69	77	7.64	3.44	2.22	1.08	20.3	9.1	11.1	0.265	82.8	2.9	3.23	3.87	3.75	4.69	3.36	4.06	-1.78	56.64	66.36	92.86	0.232	0.308	0.369	0.677	1338	17.4	16	3.82
박시후	5.04	11	6.75	4.3	1.57	0.61	15.7	10	5.7	0.347	61.5	6.75	6.75	6.54	6.34	5.04	4.32	4.71	1.71	131.63	112.04	99.84	0.295	0.386	0.361	0.747	259	23.5	17.7	3.7
더거	5.04	6	7.15	3.97	1.8	0.79	15.5	8.6	6.9	0.422	36.2	12.71	13.1	13.1	12.8	5.04	4.1	4.57	7.66	247.78	226.3	99.92	0.366	0.431	0.554	0.985	457	76.2	20.2	3.94
서진용	5.09	51	7.28	4.98	1.46	0.96	18	12.3	5.7	0.343	62	5.55	6.51	7.82	7.52	5.09	3.91	4.72	0.46	108.29	132.95	100.93	0.291	0.379	0.447	0.826	800	15.7	17	3.79
김광현	5.1	31	8.54	4.05	2.11	1.33	21.7	10.3	11.4	0.309	70.5	4.93	5.27	5.25	5.08	5.1	3.43	4.03	-0.16	96.22	89.77	100.98	0.26	0.342	0.423	0.765	2757	88.9	17	3.89
문승원	5.16	62	7.95	3.6	2.21	1.5	20	9.1	10.9	0.324	75.6	4.5	4.95	5.36	5.05	5.16	3.3	4.09	-0.66	87.75	89.32	102.31	0.283	0.348	0.439	0.787	1056	17	17.6	3.98
송영진	5.33	26	6.07	4.62	1.31	0.91	14.7	11.2	3.5	0.317	60	5.8	6.7	6.17	6.06	5.33	4.23	4.98	0.46	113.08	107.19	105.7	0.283	0.364	0.417	0.781	1815	69.8	18.3	3.98
오원석	5.52	29	8.29	4.81	1.72	1.26	20.4	11.8	8.5	0.308	72.7	5.03	5.33	5.08	4.96	5.52	3.96	4.37	-0.49	98.09	87.7	109.44	0.261	0.365	0.404	0.769	2208	76.1	18.1	4.01
이로운	5.65	62	6.59	6.91	0.95	0.64	14.8	15.5	-0.7	0.344	65.4	5.95	6.91	6.44	6.22	5.65	4.91	5.49	0.29	115.96	109.91	112.06	0.3	0.412	0.413	0.825	1138	18.4	20.3	4.11
이기순	6.14	10	10.98	10.53	1.04	0.92	25.5	24.5	1.1	0.233	78.8	3.66	4.58	4.19	4.12	6.14	5.02	5.27	-2.48	71.39	72.82	121.71	0.174	0.387	0.275	0.662	423	42.3	21.5	4.5
고효준	6.25	26	11.05	8.18	1.35	1.64	24.8	18.3	6.4	0.339	60.5	8.18	8.59	7.88	7.36	6.25	4.18	4.63	1.93	159.55	130.1	123.94	0.271	0.407	0.459	0.866	482	18.5	21.9	4.42
박민호	6.29	19	3.97	2.78	1.43	1.59	10.2	7.1	3.1	0.28	71.4	4.76	5.56	6.79	6.27	6.29	4.32	5.03	-1.53	92.92	110.8	124.66	0.287	0.347	0.46	0.807	352	18.5	15.5	3.59
장지훈	6.3	18	4.22	4.22	1	1.27	9.9	9.9	0	0.342	66.7	6.75	6.75	7.76	7.62	6.3	4.76	5.4	0.45	131.63	134.65	124.84	0.33	0.4	0.5	0.9	372	20.7	17.4	3.68
최민준	6.43	32	9.15	5.49	1.67	2.06	19.8	11.9	7.9	0.419	69.3	7.78	8.24	9.43	9.17	6.43	3.83	4.45	1.35	151.71	162.09	127.41	0.353	0.44	0.572	1.012	782	24.4	19.9	3.87
박종훈	6.72	10	8.74	5.4	1.62	1.8	20.7	12.8	7.9	0.319	67.9	6.94	7.2	6.71	6.68	6.72	4.43	4.45	0.22	135.39	118.15	133.16	0.276	0.402	0.485	0.887	662	66.2	18.9	4.04
이건욱	7.87	10	8.05	7.11	1.13	2.37	16	14.2	1.9	0.433	59.1	11.37	11.84	11.51	11.46	7.87	4.88	5.17	3.5	221.69	202.67	155.92	0.386	0.481	0.602	1.083	445	44.5	23.4	4.2
백승건	8.4	10	4.82	8.68	0.56	1.93	9.8	17.6	-7.8	0.314	68.4	7.71	8.68	10.66	10.05	8.4	5.98	6.34	-0.68	150.44	177.73	166.45	0.317	0.431	0.512	0.943	203	20.3	21.8	3.98
김택형	8.64	6	1.29	7.71	0.17	1.29	2.7	16.2	-13.5	0.321	62.5	9	9	7.91	7.9	8.64	7.05	7.02	0.36	175.51	139.65	171.27	0.333	0.459	0.467	0.926	130	21.7	18.6	3.51
김주온	9.15	2	7.71	5.79	1.33	3.86	16	12	4	0.375	37.5	15.43	15.43	18.42	18.21	9.15	4.2	4.92	6.28	300.87	321.91	181.32	0.381	0.44	0.714	1.154	98	49	21	3.92
신헌민	16.27	3	0	9	0	6	0	16.7	-16.7	0.417	50	18	21	21	20.88	16.27	8.46	7.4	1.73	351.02	369.15	322.35	0.538	0.611	1.154	1.765	53	17.7	17.7	2.94
최현석	32.25	2	13.5	40.5	0.33	13.5	10	30	-20	0.8	57.1	54	54	54	53.38	32.25	14.79	7.8	21.75	1053.05	943.79	639.11	0.714	0.8	1.143	1.943	48	24	72	4.8
