Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
곽빈,3.27,27,27,0,0,0,0,8,9,0,0,147.2,62,69,64.85,645,143,30,0,13,60,11,1,138,7,1,9,3.78,4.21,3.95,4.13,3.99,1.37,8.41,3.66,2.3,0.79,21.4,9.3,12.1,0.313,74,3.03,3.95,-0.21,97.64,95.27,102.99,0.253,0.335,0.375,0.71,2565,95,17.4,3.98,10,37,4,14.8,11,0,0,61,3.7,10,17,37,0,0,23,7,30.4,5.47,95,51.96,0.64,3.27,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,0,0,,23,7,30.4,,,,,0.313,416,37.6,8.5,51.6,60.1,2.3,0.6,5,6.3,892,1008,865,1310,686,905
최원준,3.23,30,30,0,0,0,0,8,13,0,0,165,66,80,76.7,713,183,31,2,21,37,7,0,113,10,1,1,3.6,4.36,4.18,4.35,4.41,1.33,6.16,2.02,3.05,1.15,15.8,5.2,10.7,0.306,74.2,3.02,4.12,-0.81,93.02,100.43,114.03,0.279,0.321,0.428,0.749,2755,91.8,16.7,3.86,16,53.3,2,6.7,6,0,0,79,4.3,10,20,33.3,0,0,20,6,30,5.5,91.83,50.1,0.29,3.23,0,0,0,0,0,0,0,0,,0,0,0,0,13,13,0,0,,20,6,30,,,,,0.306,529,32,7.4,58.3,65.6,2.3,0.5,5.8,6.6,892,1008,865,1310,686,905
스탁,2.53,29,29,0,0,0,0,9,10,0,0,165,66,87,83.95,722,162,24,2,9,83,10,0,138,9,0,12,3.6,4.75,4.58,4.74,4.09,1.48,7.53,4.53,1.66,0.49,19.1,11.5,7.6,0.319,69.4,3.51,4.49,-0.49,93.02,109.5,105.67,0.26,0.355,0.348,0.703,2876,99.2,17.4,3.98,15,51.7,8,27.6,4,0,0,102,5.6,16,13,55.2,0,0,12,6,50,5.69,99.17,50.69,-0.4,2.53,0,0,0,0,0,0,0,0,,0,0,0,0,10,12,0,0,,12,6,50,,,,,0.319,479,56.4,4.1,36.3,40.3,3.3,1.4,4.5,15.4,892,1008,865,1310,686,905
정철원,1.78,58,0,58,9,0,0,4,3,3,23,72.2,25,26,29.9,294,60,12,2,4,26,2,2,47,2,0,7,3.1,3.22,3.7,3.75,3.93,1.18,5.82,3.22,1.81,0.5,16,8.8,7.1,0.267,75.6,3.35,4.54,-0.84,80,86.63,101.58,0.232,0.304,0.34,0.644,1162,20,16,3.95,0,,0,,0,0,0,65,,0,0,,0,0,18,8,44.4,,,,,,13,3,27,3,23,3,2,5,83.9,1,4,2,2,28,14,36,13,36.1,18,8,44.4,1.25,20.03,1.55,1.78,0.267,210,53.9,5.5,37.4,42.9,3.2,1.3,4.3,10,892,1008,865,1310,686,905
브랜든,1.51,11,11,0,0,0,0,5,3,0,0,65,26,29,28.15,276,56,10,0,5,24,1,0,40,7,1,2,3.6,4.02,3.9,4.03,4.35,1.23,5.54,3.32,1.67,0.69,14.5,8.7,5.8,0.251,70.3,3.52,4.7,-0.75,93.02,93.05,112.48,0.228,0.297,0.329,0.626,1103,100.3,17,4,5,45.5,3,27.3,3,0,0,27,3.7,6,5,54.5,0,0,3,2,66.7,5.91,100.27,52.64,0.35,1.51,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,0,0,,3,2,66.7,,,,,0.251,203,54,7.1,37.4,44.5,1.4,1.2,5.3,8.9,892,1008,865,1310,686,905
김명신,1.18,68,0,68,11,0,0,3,3,0,10,79.2,32,33,36,333,75,9,2,5,25,3,0,61,0,0,4,3.62,3.73,4.07,4.38,3.71,1.26,6.89,2.82,2.44,0.57,18.3,7.5,10.8,0.297,72.9,3.05,4.1,-0.09,93.41,100.98,95.76,0.253,0.312,0.348,0.66,1274,18.7,16,3.83,0,,0,,0,0,0,28,,0,0,,0,0,31,12,38.7,,,,,,17,1,26,0,10,0,1,1,90.9,0,1,0,1,13,9,43,20,46.5,31,12,38.7,1.17,18.74,0.88,1.18,0.297,236,46.7,4.9,46.7,51.6,1.6,0.9,4,5.3,892,1008,865,1310,686,905
최승용,0.85,48,15,33,2,0,0,3,7,0,5,93.1,55,59,52.15,423,104,15,4,8,43,2,0,64,9,1,1,5.3,5.69,5.03,5.23,4.58,1.58,6.17,4.15,1.49,0.77,15.1,10.2,5,0.318,65.2,3.66,4.8,0.72,137.04,120.66,118.46,0.278,0.356,0.404,0.76,1763,36.7,18.9,4.17,2,13.3,0,0,7,0,0,64,8.9,7,8,46.7,0,0,33,16,48.5,4.31,80.67,43.73,-0.74,0.41,8,0,10,0,5,0,1,1,83.3,0,1,0,0,11,14,20,4,20,33,16,48.5,0.87,16.76,1.03,0.43,0.318,302,44.3,5.1,49.4,54.5,1.3,0.8,4.7,12.5,892,1008,865,1310,686,905
홍건희,0.49,58,0,58,38,0,0,2,9,18,9,62,24,30,31.85,265,58,9,0,5,21,2,3,60,2,0,4,3.48,4.35,4.62,4.89,3.42,1.27,8.71,3.05,2.86,0.73,22.6,7.9,14.7,0.31,68.9,2.54,3.63,0.06,90.02,112.87,88.48,0.25,0.313,0.353,0.666,1009,17.4,16.3,3.81,0,,0,,0,0,0,15,,0,0,,0,0,7,4,57.1,,,,,,13,2,14,18,9,4,0,4,87.1,1,2,2,0,22,11,24,9,37.5,7,4,57.1,1.07,17.4,1.59,0.49,0.31,171,52.7,6.6,38.5,45.1,2.2,1.2,6.1,6.9,892,1008,865,1310,686,905
박정수,0.32,13,0,13,2,0,0,1,1,0,0,19.2,7,7,8.6,83,17,2,0,1,9,1,0,18,1,0,1,3.2,3.2,3.94,4.23,3.68,1.32,8.24,4.12,2,0.46,21.7,10.8,10.8,0.296,76.9,3.15,4.1,-0.47,82.77,97.61,95.02,0.233,0.325,0.301,0.626,337,25.9,17.1,4.06,0,,0,,0,0,0,10,,0,0,,0,0,8,2,25,,,,,,2,0,7,0,0,0,1,1,0,0,0,0,1,0,1,16,4,25,8,2,25,1.51,25.92,0.81,0.32,0.296,54,45.5,5.5,45.5,50.9,3.6,0.9,3.6,23.5,892,1008,865,1310,686,905
이영하,0.29,21,20,1,0,0,0,6,8,0,0,98.2,54,65,61.1,462,109,14,1,5,57,6,1,83,9,0,8,4.93,5.93,5.57,5.96,4.23,1.68,7.57,5.2,1.46,0.46,18,12.3,5.6,0.342,64.8,3.71,4.72,0.69,127.27,137.5,109.35,0.283,0.378,0.364,0.742,1838,87.5,18.6,3.98,6,30,2,10,7,0,0,66,6.1,8,10,44.4,0,0,17,8,47.1,4.9,90.8,45.6,-1.28,0.46,0,0,0,0,0,0,1,1,0,0,0,0,1,5,11,1,1,100,17,8,47.1,0.67,22,1.94,-0.17,0.342,304,47.5,5.4,43.7,49.1,3.5,1,3.2,4.6,892,1008,865,1310,686,905
박치국,0.15,15,0,15,2,0,0,1,2,0,3,11.2,7,8,5.65,51,6,0,0,0,9,3,1,12,0,0,1,5.4,6.17,4.36,4.54,4.14,1.29,9.26,6.94,1.33,0,23.5,17.6,5.9,0.231,55.6,4.19,4.69,1.26,139.53,104.74,106.86,0.158,0.36,0.158,0.518,199,13.3,17.1,3.9,0,,0,,0,0,0,4,,0,0,,0,0,13,6,46.2,,,,,,3,0,4,0,3,0,0,0,100,0,2,0,0,2,4,8,1,12.5,13,6,46.2,0.78,13.27,1.3,0.15,0.231,26,55.6,7.4,37,44.4,0,1.3,0,16.7,892,1008,865,1310,686,905
이병헌,0.1,9,0,9,0,0,0,0,0,0,0,5,2,2,1.95,28,5,1,0,0,7,1,0,5,0,0,2,3.6,3.6,3.51,3.61,6.24,2.4,9,12.6,0.71,0,17.9,25,-7.1,0.333,84.6,6.34,6.26,-2.64,93.02,83.2,161.34,0.25,0.464,0.3,0.764,124,13.8,24.8,4.43,0,,0,,0,0,0,0,,0,0,,0,0,5,2,40,,,,,,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,7,2,28.6,5,2,40,0.56,13.78,0.3,0.1,0.333,15,40,0,60,60,0,0.7,0,0,892,1008,865,1310,686,905
박웅,0.09,8,0,8,4,0,0,0,0,0,0,6,2,3,2.8,33,7,0,0,0,7,0,0,3,0,0,0,3,4.5,4.2,4.28,6.15,2.33,4.5,10.5,0.43,0,9.1,21.2,-12.1,0.304,78.6,6.27,6.85,-3.15,77.51,98.71,158.93,0.269,0.424,0.269,0.693,126,15.8,21,3.82,0,,0,,0,0,0,1,,0,0,,0,0,4,1,25,,,,,,2,1,0,0,0,0,0,0,,0,0,0,0,1,0,7,1,14.3,4,1,25,0.75,15.75,0.39,0.09,0.304,23,39.1,8.7,47.8,56.5,4.3,0.7,0,14.3,892,1008,865,1310,686,905
이형범,0.02,31,0,31,14,0,0,0,1,0,0,31,15,17,19,142,34,7,0,1,11,4,0,17,4,0,2,4.35,4.94,5.52,5.93,4.3,1.45,4.94,3.19,1.55,0.29,12,7.7,4.2,0.303,66.7,4.01,4.89,0.06,112.52,136.9,111.03,0.27,0.345,0.349,0.694,550,17.7,17.7,3.87,0,,0,,0,0,0,16,,0,0,,0,0,14,7,50,,,,,,6,1,10,0,0,1,0,1,0,0,0,1,0,1,4,23,11,47.8,14,7,50,1,17.74,0.57,0.02,0.303,109,50,3.6,44.5,48.2,1.8,1,1.9,5.9,892,1008,865,1310,686,905
권휘,-0.02,10,0,10,1,0,0,0,0,0,1,9.1,6,6,5.85,40,8,0,0,1,5,1,0,5,0,0,2,5.79,5.79,5.64,6.17,5.71,1.39,4.82,4.82,1,0.96,12.5,12.5,0,0.25,61.5,4.51,5.4,0.07,149.49,142.38,147.61,0.242,0.35,0.333,0.683,187,18.7,20,4.68,0,,0,,0,0,0,6,,0,0,,0,0,4,2,50,,,,,,2,1,2,0,1,0,0,0,100,0,0,0,0,1,1,6,2,33.3,4,2,50,0.93,18.7,0.68,-0.02,0.25,28,51.7,6.9,37.9,44.8,3.4,1.2,7.7,25,892,1008,865,1310,686,905
김지용,-0.06,18,0,18,9,0,0,1,0,0,0,19.1,13,14,13.3,82,19,3,0,5,5,1,0,13,2,0,1,6.05,6.52,6.19,6.47,6.14,1.24,6.05,2.33,2.6,2.33,15.9,6.1,9.8,0.241,61.1,3.18,4.23,-0.09,156.37,149.29,158.72,0.25,0.305,0.487,0.792,321,17.8,16.6,3.91,0,,0,,0,0,0,9,,0,0,,0,0,4,3,75,,,,,,2,0,4,0,0,1,0,1,0,0,0,0,0,2,3,7,2,28.6,4,3,75,1.07,17.83,0.49,-0.06,0.241,58,33.3,9.5,57.1,66.7,0,0.5,11.9,0,892,1008,865,1310,686,905
미란다,-0.14,3,3,0,0,0,0,0,0,0,0,7.2,7,7,7,43,2,2,0,0,18,1,0,8,0,0,1,8.22,8.22,8.22,9.21,8.86,2.61,9.39,21.13,0.44,0,18.6,41.9,-23.3,0.133,66.7,8.94,8.19,-0.64,212.32,212.57,228.88,0.087,0.5,0.174,0.674,175,58.3,22.8,4.07,0,0,0,0,2,0,0,5,5.9,1,2,33.3,0,0,3,0,0,2.56,58.33,43.67,-0.28,-0.14,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,,3,0,0,,,,,0.133,15,31.3,6.3,62.5,68.8,0,0.5,0,0,892,1008,865,1310,686,905
최지강,-0.17,2,0,2,1,0,0,0,0,0,0,1.2,4,4,3.5,11,6,1,0,0,2,0,0,2,0,0,1,21.6,21.6,18.9,20.18,4.5,4.8,10.8,10.8,1,0,18.2,18.2,0,0.857,50,4.67,5.4,17.1,558.11,465.71,116.38,0.667,0.727,0.778,1.505,56,28,33.6,5.09,0,,0,,0,0,0,0,,0,0,,0,0,3,3,100,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,3,2,66.7,3,3,100,0.83,28,0.28,-0.17,0.857,7,28.6,14.3,57.1,71.4,0,0.4,0,0,892,1008,865,1310,686,905
장원준,-0.17,27,0,27,3,0,0,0,1,0,6,17,7,8,11.65,78,23,3,0,0,7,1,0,7,0,0,0,3.71,4.24,6.17,6.64,4.21,1.76,3.71,3.71,1,0,9,9,0,0.371,74.2,4.3,5.4,-0.51,95.75,153.34,108.87,0.338,0.403,0.382,0.785,290,10.7,17.1,3.72,0,,0,,0,0,0,1,,0,0,,0,0,20,5,25,,,,,,6,1,4,0,6,0,1,1,85.7,0,2,0,1,3,6,30,12,40,20,5,25,0.63,10.74,0.92,-0.17,0.371,62,54,4.8,36.5,41.3,4.8,1.3,0,13,892,1008,865,1310,686,905
김동주,-0.29,10,0,10,4,0,0,0,0,0,0,16.2,14,14,14.85,85,23,1,0,5,9,0,0,13,3,0,2,7.56,7.56,8.02,8.81,7.08,1.92,7.02,4.86,1.44,2.7,15.3,10.6,4.7,0.31,72,3.6,4.84,0.48,195.34,203.34,182.89,0.303,0.376,0.513,0.889,328,32.8,19.7,3.86,0,,0,,0,0,0,8,,0,0,,0,0,4,2,50,,,,,,1,0,7,0,0,0,0,0,,0,0,0,0,1,0,5,4,80,4,2,50,1.67,32.8,0.26,-0.29,0.31,58,50.8,7.9,38.1,46,3.2,1.1,17.2,4.3,892,1008,865,1310,686,905
이승진,-0.36,35,0,35,8,0,0,3,1,0,2,31.1,23,25,22.65,140,35,2,0,5,12,1,0,29,0,1,0,6.61,7.18,6.51,6.93,4.66,1.5,8.33,3.45,2.42,1.44,20.7,8.6,12.1,0.323,56.1,2.86,3.94,1.95,170.7,159.83,120.29,0.28,0.343,0.416,0.759,564,16.1,18,4.03,0,,0,,0,0,0,13,,0,0,,0,0,18,9,50,,,,,,11,2,7,0,2,1,0,1,66.7,0,0,0,0,7,6,19,5,26.3,18,9,50,0.9,16.11,0.81,-0.36,0.323,93,38.8,3.1,55.1,58.2,3.1,0.7,8.8,8.6,892,1008,865,1310,686,905
임창민,-0.39,32,0,32,10,0,0,0,0,2,6,27.1,12,15,19.1,124,26,1,0,3,10,3,0,21,4,0,1,3.95,4.94,6.29,6.61,4.64,1.32,6.92,3.29,2.1,0.99,16.9,8.1,8.9,0.264,68.6,3.42,4.34,-0.69,102.09,152.58,119.99,0.234,0.315,0.324,0.639,492,15.4,18,3.97,0,,0,,0,0,0,10,,0,0,,0,0,15,4,26.7,,,,,,7,0,6,2,6,3,2,5,61.5,0,1,0,2,8,8,22,10,45.5,15,4,26.7,0.85,15.38,1.3,-0.39,0.264,87,48.9,3.3,44.4,47.8,3.3,1,7,7.7,892,1008,865,1310,686,905
김강률,-0.42,26,0,26,17,0,0,3,4,9,1,24.2,12,13,16.8,110,28,6,0,2,8,2,2,15,1,0,1,4.38,4.74,6.13,6.53,4.36,1.46,5.47,2.92,1.88,0.73,13.6,7.3,6.4,0.317,71.4,3.5,4.64,0.02,113.13,150.67,112.65,0.295,0.349,0.421,0.77,395,15.2,16,3.59,0,,0,,0,0,0,9,,0,0,,0,0,3,0,0,,,,,,5,0,5,9,1,4,1,5,66.7,0,0,3,0,10,6,15,7,46.7,3,0,0,0.95,15.19,1.62,-0.42,0.317,82,41.2,3.5,51.8,55.3,3.5,0.7,4.3,10.7,892,1008,865,1310,686,905
박신지,-0.68,29,9,20,2,0,0,1,6,0,0,61.2,46,50,49.3,313,84,12,1,7,40,5,0,38,7,0,4,6.71,7.3,7.2,7.5,5.86,2.01,5.55,5.84,0.95,1.02,12.1,12.8,-0.6,0.355,66.4,4.61,5.48,0.86,173.47,172.98,151.32,0.326,0.42,0.461,0.881,1199,41.3,19.4,3.83,0,0,0,0,4,0,0,19,5.3,2,7,22.2,0,0,23,10,43.5,3.56,69,37.89,-0.84,-0.27,4,1,10,0,0,0,0,0,,0,0,0,0,2,10,21,9,42.9,23,10,43.5,1.48,28.9,0.62,-0.41,0.355,217,45.2,5.2,47.4,52.6,2.2,0.9,5.8,14.3,892,1008,865,1310,686,905
이현승,-0.74,23,0,23,0,0,0,1,0,0,2,8.2,6,6,10.35,43,13,1,2,2,4,1,0,9,0,0,0,6.23,6.23,10.75,11.64,5.72,1.96,9.35,4.15,2.25,2.08,20.9,9.3,11.6,0.407,80,3.08,4,0.51,160.99,268.59,147.86,0.351,0.419,0.649,1.068,160,7,18.5,3.72,0,,0,,0,0,0,5,,0,0,,0,0,10,3,30,,,,,,8,1,0,0,2,1,0,1,66.7,0,0,0,0,4,7,31,11,35.5,10,3,30,0.38,6.96,1.42,-0.74,0.407,27,41.4,10.3,48.3,58.6,0,0.7,11.8,7.7,892,1008,865,1310,686,905
전창민,-0.77,9,0,9,2,0,0,0,0,0,0,9.1,20,20,18.8,52,17,4,1,2,8,0,0,3,0,0,0,19.29,19.29,18.13,17.43,8.19,2.68,2.89,7.71,0.38,1.93,5.8,15.4,-9.6,0.385,22.7,5.75,6.55,11.1,498.31,402.15,211.56,0.395,0.481,0.674,1.155,190,21.1,20.4,3.65,0,,0,,0,0,0,4,,0,0,,0,0,5,4,80,,,,,,0,0,2,0,0,0,0,0,,0,0,0,0,0,1,6,1,16.7,5,4,80,1.04,21.11,0.3,-0.77,0.385,39,48.8,9.8,39,48.8,2.4,1,10,5.9,892,1008,865,1310,686,905
윤명준,-0.98,20,0,20,5,0,0,1,1,0,0,22.1,21,24,25.2,109,33,6,2,8,8,1,1,15,2,0,2,8.46,9.67,10.16,10.65,7.48,1.84,6.05,3.22,1.88,3.22,13.8,7.3,6.4,0.338,58.1,3.32,4.63,0.98,218.66,245.74,193.22,0.347,0.396,0.705,1.101,399,20,17.9,3.66,0,,0,,0,0,0,11,,0,0,,0,0,7,3,42.9,,,,,,4,0,6,0,0,0,0,0,,0,0,0,0,0,4,8,4,50,7,3,42.9,1.12,19.95,0.62,-0.98,0.338,74,45.9,3.5,47.1,50.6,3.5,0.9,18.6,0,892,1008,865,1310,686,905
